VAA20

Projekt-ID	729893
URL der Umfrage	https://ww2.unipark.de/uc/mauve_Heinrich-Heine-Universit__/dec0/
Datum	09.12.2020 10:46:21

1 Seite: System (PGID 4650162)


3 Seite: Politisches Interesse 1 (PGID 4822338)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8841496 - Typ 311)
Variablenname	Code	Bezeichnung
language	-	Sprache
	1	Deutsch
status	-	Dispositionscode
	10	Consent gesehen
	11	Noch nicht eingeladen
	12	Eingeladen
	16	Reserviert 1
	17	Reserviert 2
	13	Inaktiv
	14	E-Mail unzustellbar
	15	Nicht erreichbar
	18	Benutzerdefiniert unerreichbar 1
	19	Custom unavailable 2
	20	Noch nicht begonnen
	21	Antwortet gerade
	22	Unterbrochen
	23	Wiederaufgenommen
	31	Beendet
	32	Beendet nach Unterbrechung
	33	Benutzerdefiniert beendet 1
	34	Benutzerdefiniert beendet 2
	35	Abgewiesen bei Login (Quote voll)
	36	Abgewiesen (Quote voll)
	37	Ausgescreent
	38	Benutzerdefiniert ausgescreent 1
	39	Benutzerdefiniert ausgescreent 2
	40	Benutzerdefiniert ausgescreent 3
	41	Quote geschlossen
	42	Consent abgelehnt
	43	Personenbezogene Daten gelöscht 
date_of_first_access	-	Datum des ersten Zugriffs
date_of_last_access	-	Datum des letzten Zugriffs
date_of_first_mail	-	Datum der ersten Mail
user_agent	-	Browser-Identifikation
http_referer	-	http_referer
device_type	-	Desktop / Mobil
	0	desktop
	1	mobile
participant_browser	-	Browser-Name
	-99	Unknown
	1	Avant Browser
	2	ABrowse
	3	ANTGalio
	4	Amaya
	5	Android Browser
	6	Arora
	7	Amiga Voyager
	8	Amiga Aweb
	9	BlackBerry Browser
	10	Baidu Browser
	11	Baidu Spark
	12	Beonex
	13	Bunjalloo
	14	BrowseX
	15	Camino
	16	Comodo Dragon
	17	Charon
	18	Chrome Frame
	19	Chrome
	20	Chrome Mobile iOS
	21	Conkeror
	22	Chrome Mobile
	23	CoolNovo
	24	CometBird
	25	ChromePlus
	26	Chromium
	27	Cheshire
	28	Dolphin
	29	Dillo
	30	Elinks
	31	Epiphany
	32	Espial TV Browser
	33	Firebird
	34	Fluid
	35	Fennec
	36	Firefox
	37	Flock
	38	Fireweb Navigator
	39	Galeon
	40	Google Earth
	41	HotJava
	42	Iceape
	43	IBrowse
	44	iCab
	45	IceDragon
	46	Iceweasel
	47	Internet Explorer
	48	IE Mobile
	49	Iron
	50	Jasmine
	51	Kindle Browser
	52	K-meleon
	53	Konqueror
	54	Kapiko
	55	Kazehakase
	56	Liebao
	57	Links
	58	Lunascape
	59	Lynx
	60	MicroB
	61	NCSA Mosaic
	62	Mercury
	63	Mobile Safari
	64	Midori
	65	Mobile Silk
	66	Maxthon
	67	Nokia Browser
	68	Nokia OSS Browser
	69	Nokia Ovi Browser
	70	NetFront
	71	NetFront Life
	72	NetPositive
	73	Netscape
	74	Obigo
	75	Opera Mini
	76	Opera Mobile
	77	Opera
	78	Opera Next
	79	Oregano
	80	Openwave Mobile Browser
	81	OmniWeb
	82	Palm Blazer
	83	Pale Moon
	84	Palm Pre
	85	Puffin
	86	Palm WebPro
	87	Phoenix
	88	Polaris
	89	Rekonq
	90	RockMelt
	91	Sailfish Browser
	92	SEMC-Browser
	93	Sogou Explorer
	94	Safari
	95	Shiira
	96	Sleipnir
	97	SeaMonkey
	98	Snowshoe
	99	Sunrise
	100	Swiftfox
	101	Tizen Browser
	102	UC Browser
	103	WebPositive
	104	wOSBrowser
	105	Yandex Browser
	106	Xiino
	107	360 Phone Browser
	108	360 Browser
	109	ANT Fresco
	110	Amigo
	111	Atomic Web Browser
	112	Brave
	113	Coc Coc
	114	Deepnet Explorer
	115	Element Browser
	116	Fireweb
	117	Jig Browser
	118	Kylo
	119	LG Browser
	120	LuaKit
	121	MIUI Browser
	122	Odyssey Web Browser
	123	Off By One
	124	ONE Browser
	125	Otter Browser
	126	Palmscape
	127	Microsoft Edge
	128	QQ Browser
	129	Samsung Browser
	130	Skyfire
	131	Seraphic Sraf
	132	SuperBird
	133	TweakStyle
	134	Vivaldi
	135	Vision Mobile Browser
	136	WeTab Browser
	137	B-Line
	138	BriskBard
	139	dbrowser
	140	Dorado
	141	Isivioo
	142	Streamy
participant_browser_version	-	Browser-Version
participant_os	-	Betriebssystem
	-99	Unknown
	1	AIX
	2	Android
	3	AmigaOS
	4	Apple TV
	5	Arch Linux
	6	BackTrack
	7	Bada
	8	BeOS
	9	BlackBerry OS
	10	BlackBerry Tablet OS
	11	Brew
	12	CentOS
	13	Chrome OS
	14	Debian
	15	DragonFly
	16	Fedora
	17	Firefox OS
	18	FreeBSD
	19	Gentoo
	20	Google TV
	21	HP-UX
	22	Haiku OS
	23	IRIX
	24	Inferno
	25	Knoppix
	26	Kubuntu
	27	GNU/Linux
	28	Lubuntu
	29	VectorLinux
	30	Mac
	31	Mandriva
	32	MeeGo
	33	Mint
	34	NetBSD
	35	Nintendo
	36	Nintendo Mobile
	37	OS/2
	38	OSF1
	39	OpenBSD
	40	PlayStation Portable
	41	PlayStation
	42	Red Hat
	43	RISC OS
	44	Sabayon
	45	SUSE
	46	Sailfish OS
	47	Slackware
	48	Solaris
	49	Syllable
	50	Symbian
	51	Symbian OS
	52	Symbian OS Series 40
	53	Symbian OS Series 60
	54	Symbian^3
	55	Tizen
	56	Ubuntu
	57	WebTV
	58	Windows
	59	Windows 10
	60	Windows 2000
	61	Windows 3.1
	62	Windows 7
	63	Windows 8
	64	Windows 8.1
	65	Windows 95
	66	Windows 98
	67	Windows CE
	68	Windows ME
	69	Windows Mobile
	70	Windows NT
	71	Windows Phone
	72	Windows RT
	73	Windows RT 8.1
	74	Windows Server 2003
	75	Windows Vista
	76	Windows XP
	77	Xbox
	78	Xubuntu
	79	YunOs
	80	iOS
	81	palmOS
	82	webOS
	83	CyanogenMod
	84	Maemo
	85	MocorDroid
	86	MildWild
	87	MorphOS
	88	MTK / Nucleus
	89	Remix OS
	90	RazoDroiD
	91	ThreadX
participant_device	-	Geräte-Typ
	-99	Unknown
	0	desktop
	1	smartphone
	2	tablet
	3	feature phone
	4	console
	5	tv
	6	car browser
	7	smart display
	8	camera
	9	portable media player
	10	phablet
participant_brand	-	Geräte-Marke
	-99	Unknown
	1	Acer
	2	Airness
	3	Alcatel
	4	Arnova
	5	Amoi
	6	Apple
	7	Archos
	8	Asus
	9	Avvio
	10	Audiovox
	11	BBK
	12	Becker
	13	Bird
	14	Beetel
	15	Bmobile
	16	Barnes & Noble
	17	BangOlufsen
	18	BenQ
	19	BenQ-Siemens
	20	Blu
	21	bq
	22	Cat
	23	Celkon
	24	ConCorde
	25	Cherry Mobile
	26	Cricket
	27	Compal
	28	CnM
	29	Crius Mea
	30	CreNova
	31	Capitel
	32	Compaq
	33	Coolpad
	34	Cube
	35	Coby Kyros
	36	Danew
	37	Denver
	38	Dbtel
	39	DoCoMo
	40	Dicam
	41	Dell
	42	DMM
	43	Doogee
	44	Dopod
	45	E-Boda
	46	Ericsson
	47	Ezio
	48	Easypix
	49	Ericy
	50	eTouch
	51	Evertek
	52	Ezze
	53	Fly
	54	Fujitsu
	55	Gateway
	56	Gemini
	57	Gionee
	58	Gigabyte
	59	Gigaset
	60	Google
	61	Gradiente
	62	Grundig
	63	Haier
	64	HP
	65	HTC
	66	Huawei
	67	Humax
	68	Hyrican
	69	Ikea
	70	iBall
	71	iBerry
	72	iKoMo
	73	i-mate
	74	Infinix
	75	Innostream
	76	Inkti
	77	Intex
	78	i-mobile
	79	INQ
	80	Intek
	81	Inverto
	82	Jiayu
	83	Jolla
	84	Karbonn
	85	KDDI
	86	Kindle
	87	Konka
	88	K-Touch
	89	KT-Tech
	90	Kyocera
	91	Kazam
	92	Lava
	93	Lanix
	94	LCT
	95	Lenovo
	96	Lenco
	97	LG
	98	Loewe
	99	Logicom
	100	Lexibook
	101	Manta Multimedia
	102	Mobistel
	103	Medion
	104	Metz
	105	MEU
	106	MicroMax
	107	MediaTek
	108	Mio
	109	Mpman
	110	Motorola
	111	Microsoft
	112	MSI
	113	Memup
	114	Mitsubishi
	115	MyPhone
	116	NEC
	117	NGM
	118	Nintendo
	119	Nokia
	120	Nikon
	121	Newgen
	122	Nexian
	123	Onda
	124	OPPO
	125	Orange
	126	O2
	127	OUYA
	128	Opsson
	129	Panasonic
	130	PEAQ
	131	Philips
	132	Polaroid
	133	Palm
	134	phoneOne
	135	Pantech
	136	PolyPad
	137	Prestigio
	138	Qilive
	139	Qtek
	140	Quechua
	141	Oysters
	142	Ramos
	143	RIM
	144	Rover
	145	Samsung
	146	Sega
